date,IR14270
2018-05-01,49.6
2018-06-01,49.1
2018-07-01,47.4
2018-08-01,46.1
2018-09-01,45.4
2018-10-01,45.4
2018-11-01,46.4
2018-12-01,46.9
2019-01-01,48.6
2019-02-01,49.7
2019-03-01,48.8
2019-04-01,48.8
2019-05-01,48.4
2019-06-01,50.3
2019-07-01,53.0
2019-08-01,56.2
2019-09-01,57.9
2019-10-01,56.5
2019-11-01,56.3
2019-12-01,55.6
2020-01-01,57.9
2020-02-01,59.2
2020-03-01,62.0
2020-04-01,60.8
2020-05-01,64.4
2020-06-01,64.8
2020-07-01,67.0
2020-08-01,76.2
2020-09-01,73.6
2020-10-01,72.0
2020-11-01,72.4
2020-12-01,68.6
2021-01-01,72.6
2021-02-01,69.0
2021-03-01,64.9
2021-04-01,66.0
2021-05-01,68.4
2021-06-01,71.5
2021-07-01,68.2
2021-08-01,68.2
2021-09-01,68.7
2021-10-01,66.6
2021-11-01,67.7
2021-12-01,67.4
2022-01-01,68.3
2022-02-01,68.0
2022-03-01,72.9
2022-04-01,73.2
2022-05-01,71.0
2022-06-01,69.8
2022-07-01,66.7
2022-08-01,67.1
2022-09-01,64.6
2022-10-01,64.2
2022-11-01,62.3
2022-12-01,67.5
2023-01-01,69.8
2023-02-01,72.4
2023-03-01,69.3
2023-04-01,75.9
2023-05-01,76.2
2023-06-01,74.2
2023-07-01,72.7
2023-08-01,73.7
2023-09-01,72.9
2023-10-01,68.9
2023-11-01,75.3
2023-12-01,76.8
2024-01-01,77.7
2024-02-01,76.8
2024-03-01,80.8
2024-04-01,86.4
2024-05-01,87.3
2024-06-01,88.4
2024-07-01,89.0
2024-08-01,91.2
2024-09-01,94.5
2024-10-01,100.4
2024-11-01,102.5
2024-12-01,100.0
2025-01-01,100.7
2025-02-01,109.9
2025-03-01,114.1
2025-04-01,117.0
